bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1521844,MI,HB5283,Education: curriculum; environmental literacy task force to develop environmental literacy model curriculum and report on the curriculum; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1158.,2021-08-18,H,Bill Electronically Reproduced 08/18/2021,2021-08-19,https://legiscan.com/MI/text/HB5283/id/2428970
1026376,MI,HB4982,Education; curriculum; environmental literacy task force to develop environmental literacy model curriculum and report on the curriculum; provide for. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1158.,2017-09-19,H,Bill Electronically Reproduced 09/19/2017,2017-09-20,https://legiscan.com/MI/text/HB4982/id/1649515
88234,MI,HB5383,Environmental protection; air pollution; low carbon fuel standards; provide for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 67.,2009-09-17,,Printed Bill Filed 09/18/2009,2009-09-22,https://legiscan.com/MI/text/HB5383/id/434004
1121298,MI,SB1051,"State financing and management; budget; budget process; modify. Amends secs. 113, 115, 123, 124, 283, 299, 343, 353, 363, 367, 373, 421, 462, 483, 484, 485, 486 & 487 of 1984 PA 431 (MCL 18.1113 et seq.); adds sec. 495 & repeals sec. 447 of 1984 PA 431 (MCL 18.1447).",2018-06-06,S,Assigned Pa 0389'18 With Immediate Effect,2018-12-21,https://legiscan.com/MI/text/SB1051/id/1834800
1027040,MI,HB5001,"Occupations; foresters; registration of foresters; provide for purposes of preparing management plan for tax-exempt qualified forest property. Amends secs. 50507, 50703, 50706 & 51101 of 1994 PA 451 (MCL 324.50507 et seq.); adds pt. 535 & repeals sec. 29 of 1979 PA 152 (MCL 338.2229) & repeals art. 21 of 1980 PA 299 (MCL 339.2101 - 339.2108). TIE BAR WITH: HB 5002'17",2017-09-26,H,Assigned Pa 116'18 With Immediate Effect,2018-04-26,https://legiscan.com/MI/text/HB5001/id/1791853
1122021,MI,SB1072,"Natural resources; nonnative species; permitted species list; eliminate, and require registration of persons selling live nonnative aquatic species. Amends secs. 1301, 41301, 41302, 41303, 41306 & 41325 of 1994 PA 451 (MCL 324.1301 et seq.); adds secs. 41329, 41331, 41333, 41335, 41337 & 41341 & repeals sec. 41302a of 1994 PA 451 (MCL 324.41302a).",2018-06-12,S,Assigned Pa 0451'18 With Immediate Effect,2018-12-28,https://legiscan.com/MI/text/SB1072/id/1834859
1431810,MN,HF550,Climate justice instruction required by school districts and charter schools.,2021-02-01,H,Author added Hornstein,2022-04-21,https://legiscan.com/MN/text/HF550/id/2530883
914545,MN,HF275,"Legislative Health and Climate Resiliency Commission created to develop state strategic plan, and money appropriated.",2017-01-17,H,"Introduction and first reading, referred to Environment and Natural Resources Policy and Finance",2017-01-17,https://legiscan.com/MN/text/HF275/id/1461628
969223,MN,SF1269,Health and climate resiliency commission establishment and appropriation,2017-02-22,S,Referred to Environment and Natural Resources Policy and Legacy Finance,2017-02-22,https://legiscan.com/MN/text/SF1269/id/1526799
866805,MN,HF3406,"Legislative Health and Climate Resiliency Commission created to develop a strategic plan for the state, and money appropriated.",2016-03-21,H,Authors added Erhardt and Slocum.,2016-03-23,https://legiscan.com/MN/text/HF3406/id/1373301
1337204,MN,SF3143,Minnesota Green New Deal Act,2020-02-13,S,Referred to Environment and Natural Resources Policy and Legacy Finance,2020-02-13,https://legiscan.com/MN/text/SF3143/id/2132666
1251480,MN,HF2836,"Minnesota Green New Deal established, and reports required.",2019-04-11,H,Author added Brand,2020-02-11,https://legiscan.com/MN/text/HF2836/id/1990839
1603931,MN,HF4028,State Board of Investment; climate change impact report on fossil fuel investments mandated.,2022-03-07,H,"Introduction and first reading, referred to Climate and Energy Finance and Policy",2022-03-07,https://legiscan.com/MN/text/HF4028/id/2540236
1235247,MN,SF2276,Investment board risks of investments in fossil fuel companies impact on climate change report mandate,2019-03-11,S,Referred to State Government Finance and Policy and Elections,2019-03-11,https://legiscan.com/MN/text/SF2276/id/1952461
1236809,MN,HF2329,State Board of Investment fossil fuel investment report on climate change impact mandated.,2019-03-11,H,"Introduction and first reading, referred to Government Operations",2019-03-11,https://legiscan.com/MN/text/HF2329/id/1954635
1596166,MN,SF3384,Report mandate on impact of climate change on fossil fuel investments currently held by State Board of Investment,2022-02-24,S,Referred to State Government Finance and Policy and Elections,2022-02-24,https://legiscan.com/MN/text/SF3384/id/2526469
1435799,MN,SF666,Climate justice instruction school districts and charter schools offering requirement,2021-02-04,S,Author added Isaacson,2021-03-01,https://legiscan.com/MN/text/SF666/id/2272928
1354136,MN,HF3982,"Climate change; financial assistance grant program established for cities, and money appropriated.",2020-03-02,H,"Committee report, to adopt and re-refer to Energy and Climate Finance and Policy Division",2020-03-26,https://legiscan.com/MN/text/HF3982/id/2158047
1482600,MN,HF2200,"Climate change grant program established to provide financial assistance to cities, and money appropriated.",2021-03-15,H,"Authors added Bierman, Hornstein, Lee, and Hollins",2022-03-17,https://legiscan.com/MN/text/HF2200/id/2336089
1332394,MN,HF3055,"Climate change impact on state capital funding needs assessment funding provided, and money appropriated.",2020-02-11,H,"Committee report, to adopt as amended and re-refer to Capital Investment Division",2020-03-02,https://legiscan.com/MN/text/HF3055/id/2158464
872819,MN,HF3900,State Board of Investment required to develop climate change risk management strategies.,2016-04-14,H,"Introduction and first reading, referred to Government Operations and Elections Policy",2016-04-14,https://legiscan.com/MN/text/HF3900/id/1389586
990603,MN,SF2085,State board of investment report on impact of climate change on current fossil fuel investments requirement,2017-03-13,S,Referred to State Government Finance and Policy and Elections,2017-03-13,https://legiscan.com/MN/text/SF2085/id/1556826
994598,MN,HF2472,Climate change impact report on fossil fuel investments currently held by the State Board of Investment required.,2017-03-20,H,Author added Hornstein.,2017-03-23,https://legiscan.com/MN/text/HF2472/id/1565825
144067,MN,SF2486,Resolution urging Congress to adopt clean energy legislation,2010-02-09,,Senate: Introduction and first reading,2010-02-09,https://legiscan.com/MN/text/SF2486/id/399544
1460107,MN,HF1428,"State greenhouse gas reduction goals amended, governmental actions required to be consistent with goals, and report frequency increased.",2021-02-22,H,Authors added Pinto and Bernardy,2021-04-26,https://legiscan.com/MN/text/HF1428/id/2304479
867893,MN,SF3198,Investment board fossil fuel divestment report requirement,2016-03-24,S,Author added Dziedzic,2016-03-29,https://legiscan.com/MN/text/SF3198/id/1375614
868964,MN,HF3694,Fossil fuel divestment report mandated.,2016-03-29,H,Author added Fischer.,2016-03-30,https://legiscan.com/MN/text/HF3694/id/1378770
