bill_id,state,bill_number,title,date of introduction,chamber of origin,final status,date of final,text
1069541,HI,SB2955,Relating To Zero-emission Vehicles.,2018-01-24,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) C. Lee, Lowen, McDermott, Souki, Tokioka excused (5).",2018-03-23,https://legiscan.com/HI/text/SB2955/id/1767870
1540605,HI,HB1092,Relating To Carbon Offsets.,2021-01-27,H,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/HB1092/id/2458848
1319076,HI,SB3150,Relating To Taxation.,2020-01-23,S,This measure has been deleted from the meeting scheduled on Tuesday 03-17-20 9:00AM in conference room 325.,2020-03-16,https://legiscan.com/HI/text/SB3150/id/2171582
1066810,HI,SB2664,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JUD with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Fukumoto, Har, Holt, Nakashima, Souki, Tokioka excused (7).",2018-03-16,https://legiscan.com/HI/text/SB2664/id/1762654
1163043,HI,HB311,Relating To The General Excise Tax.,2019-01-22,H,"Referred to LHE/TRN, FIN, referral sheet 3",2019-01-22,https://legiscan.com/HI/text/HB311/id/1861403
1290976,HI,HB311,Relating To The General Excise Tax.,2019-01-22,H,Carried over to 2020 Regular Session.,2019-12-01,https://legiscan.com/HI/text/HB311/id/2078434
1066551,HI,SB2677,Relating To Sustainable Development Goals.,2018-01-19,S,The committee(s) on EDB recommend(s) that the measure be deferred.,2018-03-14,https://legiscan.com/HI/text/SB2677/id/1750130
1573944,HI,HB2368,Relating To Natural Resource Management.,2022-01-26,H,"Referred to EEP/WAL, FIN, referral sheet 3",2022-01-28,https://legiscan.com/HI/text/HB2368/id/2496552
1567019,HI,SB2328,Relating To Natural Resource Management.,2022-01-21,S,"Referred to AEN/EET, WAM.",2022-01-24,https://legiscan.com/HI/text/SB2328/id/2497264
1539153,HI,SB987,Relating To Greenhouse Gas Emissions.,2021-01-27,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB987/id/2456605
1421837,HI,SB987,Relating To Greenhouse Gas Emissions.,2021-01-27,S,The committee(s) on EEP recommend(s) that the measure be deferred.,2021-03-18,https://legiscan.com/HI/text/SB987/id/2336957
1569697,HI,SB2970,Relating To Climate Mitigation.,2022-01-21,S,"Referred to AEN/EET, WAM.",2022-01-24,https://legiscan.com/HI/text/SB2970/id/2496297
1066534,HI,SB2678,Relating To Sustainable Development Goals.,2018-01-19,S,"Report adopted; referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) C. Lee, Lowen, McDermott, Souki, Tokioka excused (5).",2018-03-23,https://legiscan.com/HI/text/SB2678/id/1762213
1066757,HI,SB2676,Relating To Sustainable Development Goals.,2018-01-19,S,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on EDB with none voting aye with reservations; none voting no (0) and Representative(s) DeCoite, Fukumoto, Har, Holt, Nakashima, Souki, Tokioka excused (7).",2018-03-16,https://legiscan.com/HI/text/SB2676/id/1762556
1066786,HI,SB2665,Relating To Sustainable Development Goals.,2018-01-19,S,"Report adopted; referred to the committee(s) on FIN with none voting aye with reservations; none voting no (0) and Representative(s) C. Lee, Lowen, McDermott, Souki, Tokioka excused (5).",2018-03-23,https://legiscan.com/HI/text/SB2665/id/1762402
1562469,HI,SB2007,Relating To A Carbon Tax On Aviation Fuel.,2022-01-19,S,"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.",2022-02-18,https://legiscan.com/HI/text/SB2007/id/2522424
1421852,HI,SB964,Relating To Waste Management.,2021-01-27,S,The committee on JDC deferred the measure.,2021-02-25,https://legiscan.com/HI/text/SB964/id/2293754
1540259,HI,SB964,Relating To Waste Management.,2021-01-27,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB964/id/2458349
1420368,HI,SB798,Relating To The Department Of Accounting And General Services.,2021-01-22,S,"Referred to EEP, CPC, FIN, referral sheet 22",2021-03-11,https://legiscan.com/HI/text/SB798/id/2319971
1541046,HI,SB798,Relating To The Department Of Accounting And General Services.,2021-01-22,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB798/id/2459528
1163783,HI,SB988,"Authorizing The Issuance Of Special Purpose Revenue Bonds For Mele Associates, Inc., A Renewable Energy Developer Serving The General Public In Providing Electric Energy.",2019-01-18,S,"Act 160, 06/27/2019 (Gov. Msg. No. 1262).",2019-07-03,https://legiscan.com/HI/text/SB988/id/1981317
1066591,HI,SB2675,Relating To Sustainable Development Goals.,2018-01-19,S,"Referred to EEP/OMH, EDB, FIN, referral sheet 36",2018-03-08,https://legiscan.com/HI/text/SB2675/id/1723730
1424512,HI,SB1314,Relating To The Division Of Consumer Advocacy.,2021-01-27,S,"Re-Referred to CPN, WAM.",2021-02-10,https://legiscan.com/HI/text/SB1314/id/2260296
1538678,HI,SB1314,Relating To The Division Of Consumer Advocacy.,2021-01-27,S,Carried over to 2022 Regular Session.,2021-12-10,https://legiscan.com/HI/text/SB1314/id/2455880
1426448,HI,HB1383,Relating To The Division Of Consumer Advocacy.,2021-01-27,H,"Referred to CPC, LMG, FIN, referral sheet 3",2021-02-01,https://legiscan.com/HI/text/HB1383/id/2262568
