people_id,party,role,name
17878,R,Rep,Beryl Amedee
19587,D,Rep,Ken Brass
17852,D,Rep,Chad Brown
21576,R,Rep,Rhonda Butler
17901,D,Rep,Gary Carter
17879,D,Rep,Robert Carter
21560,D,Rep,Wilford Carter
21554,D,Rep,Mack Cormier
13895,D,Rep,Kenny Cox
17877,R,Rep,Paula Davis
19621,D,Rep,Royce Duplessis
21571,R,Rep,Kathy Edmonston
21561,R,Rep,Barbara Freiberg
13905,R,Rep,Raymond Garofalo
17905,D,Rep,Cedric Glover
21546,D,Rep,Kyle Green
17896,R,Rep,Stephanie Hilferty
13901,R,Rep,Valarie Hodges
17810,R,Rep,Dodie Horton
21600,D,Rep,Jason Hughes
13930,D,Rep,Patrick Jefferson
17889,D,Rep,Samuel Jenkins
21352,D,Rep,Jeremy LaCombe
21556,D,Rep,Mandie Landry
21341,D,Rep,Ed Larvadain
13851,R,Rep,Sherman Mack
17909,D,Rep,Denise Marcelle
17677,R,Rep,Blake Miguez
21353,D,Rep,Pat Moore
21599,D,Rep,Candace Newell
21564,R,Rep,Charles Owen
21559,D,Rep,Tammy Phelps
13909,D,Rep,Vincent Pierre
5369,R,Rep,Neil Riser
22926,R,Rep,Laurie Schlegel
21579,R,Rep,Vincent St. Blanc
19363,R,Rep,Joseph Stagni
21602,R,Rep,Phillip Tarver
5328,D,Rep,Francis Thompson
21566,R,Rep,Debbie Villio
21580,R,Rep,William Wheat
17888,D,Rep,Malinda White
21558,D,Rep,Matthew Willard
19591,R,Rep,Mark Wright
17898,R,Sen,Mark Abraham
5232,D,Sen,Regina Barrow
21581,D,Sen,Cleo Fields
13906,D,Sen,Katrina Jackson
21593,R,Sen,Robert Mills
17885,R,Sen,Beth Mizell
5379,D,Sen,Karen Peterson
5263,R,Sen,Kirk Talbot
21342,R,Rep,Christopher Turner
5371,D,Sen,Jean-Paul Morrell
5367,R,Sen,John Alario
5381,R,Sen,Lee Amedee
5364,R,Sen,Conrad Appel
5382,D,Sen,Sharon Broome
